Package Name,Reviewer name,Review,Rating
com.mggames.dotsnbox,Shiv Kashyap,provide option to play with friends like ludoking then your game will get popularity. In present senerio it is boring :(,1
com.mggames.dotsnbox,Sheshu Babu,Good,5
com.mggames.dotsnbox,এপার বাংলা ওপার বাংলা,ভালো,4
com.mggames.dotsnbox,Harshpreet Singh,This is very amazing and best box game,3
com.mggames.dotsnbox,Varnika Agarwal,Very bad game. Do not download this game The computer only win at the expert level,1
com.mggames.dotsnbox,cable hari,Super game,5
com.mggames.dotsnbox,vish vas chauhan Diary,boring and can't play online,1
com.mggames.dotsnbox,Shreejan bhandary,It's verry good,4
com.mggames.dotsnbox,Robert Sirotti,Would be nice if we have choices to pick bar colors or dots,5
com.mggames.dotsnbox,Shreya Gupta,NYC game,5
com.mggames.dotsnbox,Madhavi Reddy,💯,5
com.mggames.dotsnbox,Omar Ikar,It works but it has badd quality good for old peopol tho 👵🏽,2
com.mggames.dotsnbox,Venkatesh D,Supre,5
com.mggames.dotsnbox,Rohit Bebarta,Only full of add and no online multiplayer supported,2
com.mggames.dotsnbox,Shashi Arora,I hate the controls Don't download it,1
com.mggames.dotsnbox,Devansh Mane,Amazing game,5
com.mggames.dotsnbox,Sadia Asim,Nice,4
com.mggames.dotsnbox,Niharika Verma 709,"Not a good game ... Such a Waste of time . Online players are'nt available ... Just as a time pass with ""Single Player's""🤔🤔🙄🙄",1
com.mggames.dotsnbox,aswathy adhu,Line drawing is very horrible.two players only.. Very borring game,1
com.mggames.dotsnbox,AD Jangaon,Nice game,5
com.mggames.dotsnbox,Razieh Jamali,عالی خیلی فکری,5
com.mggames.dotsnbox,JATIN AHUJA,😡,1
com.mggames.dotsnbox,SAANVI JHARWAL,Wow !!! Game,5
com.mggames.dotsnbox,akash thete,Its Very Very Very Bad Not Good Best Awesome Brilinst Game Thats World Best Game I Love It,5
com.mggames.dotsnbox,Padmashree Raghu,Nice game,4
com.mggames.dotsnbox,zareen fatima,Very good I like the app,3
com.mggames.dotsnbox,20UEE080 Bishal Rabha,not good at joining the dots,1
com.mggames.dotsnbox,Mohammed Aminul Haque,This is foul and cheather game.It cheats many time 👎👎👎👎👎👎👎👎👎👎.,1
com.mggames.dotsnbox,Yusuf Pinjari,Vary grater,5
com.mggames.dotsnbox,Chesstify 736,"It's a good game, the line tapping is good and I like how quick the a.i. is if you want to do a quick game, but if you could add a harder mode that would be better because I keep beating the champion mode.",2
com.mggames.dotsnbox,Sunil Layal,Very Very good,5
com.mggames.dotsnbox,andrew harrison,Okay,4
com.mggames.dotsnbox,Unique Girls,Bad worst game I never saw,5
com.mggames.dotsnbox,Soma Ghosh,Good,5
com.mggames.dotsnbox,Mandeep Kumar,nice,1
com.mggames.dotsnbox,M S F N Moin,West game,1
com.mggames.dotsnbox,Sarita Davar,bad .,1
com.mggames.dotsnbox,TSC Ehab,This is kinda good,3
com.mggames.dotsnbox,Rishi Chaturvedi,"Waste of time, no online players available. You can't even play with your buddies",1
com.mggames.dotsnbox,Lata Gandhi,Very nice game,5
com.mggames.dotsnbox,Preeti Mishra,"Best game ever, this dots box game I liked it most. Game play is exactly same I used to play in my childhood",5
com.mggames.dotsnbox,Manik Sarma,Not nice,1
com.mggames.dotsnbox,Swapan Basak,"Very very very.........bad, worst ,game",1
com.mggames.dotsnbox,Jessika Lambert,Worst game,1
com.mggames.dotsnbox,Mahnoor Shoaib,Excellent,5
com.mggames.dotsnbox,Brendon Van Allen,The line drawing is horrible. The app puts your move anywhere it feels like.,1
com.mggames.dotsnbox,Premansh Tak,Sonakshi,5
com.mggames.dotsnbox,Amma Appavaragi,Good,3
com.mggames.dotsnbox,Raj Kumar,Ha! Nice to play with friends,5
com.mggames.dotsnbox,shadowpunch23,The game loaded for an eternity and never actually played,1
com.mggames.dotsnbox,007 Khan Anzila,Worst,1
com.mggames.dotsnbox,Ghazal Shandi,لتفنجعحسحاین,4
com.mggames.dotsnbox,Jessica Rane,It is very bad...if it is our chance still the andriod plays.,1
com.mggames.dotsnbox,Jahnvi Sahai,I love it,5
com.mggames.dotsnbox,Master DCX,The sensitivity was super low,1
com.mggames.dotsnbox,Hetal Patel,This game so beautiful,5
com.mggames.dotsnbox,Ganesan Kalaivani,Badddddddd! It is a very worst game I seen in my life 😠😨😱👎,1
com.mggames.dotsnbox,Akibul Official,To my,5
com.mggames.dotsnbox,Lopamudra Chandra,hated the gaming experience. pathetic UI and never connects to the people you invite to play,1
com.mggames.dotsnbox,Stephan Grieger,Latest update still shows you an ad even after paying for it. Really disgraceful from this developer.,2
com.mggames.dotsnbox,Clara Nicholas,Such as amazing application I like it so much,5
com.mggames.dotsnbox,Ana Espana,I don't like to be thing these kind of games but it's still have fun to be patting them on your amp anyways it's for my kids thank you,1
com.mggames.dotsnbox,Nashebes,I purchased the 'no afd' option but I still see ads...,1
com.mggames.dotsnbox,Noorjahan Chowdhary,Good,3
com.mggames.dotsnbox,Avantika Tripathi,Wow ban this,1
com.mggames.dotsnbox,Harith Jones,Can't connect lines how you want to. It's some random garbage connection selection. Literally defeats the purpose. Trash app!!! DON'T DOWNLOAD!,1
com.mggames.dotsnbox,Jacob Moloto,Famous games in the world,5
com.mggames.dotsnbox,Janki Singh,This is a very very very very very very very very good game,5
com.mggames.dotsnbox,Glynis Cole,Challenging but could be improved if I could change the line colours & slow down the AI.,4
com.mggames.dotsnbox,Nix Xin,Simple game bur fun to play,5
com.mggames.dotsnbox,Feby Hamawi,It is horrible dont play because even on easy mode it is still hard so I recommend that you should not play,1
com.mggames.dotsnbox,Sanjana Sewa,I like this game and I want to play it,1
com.mggames.dotsnbox,Sunita Rani,From,5
com.mggames.dotsnbox,Swapnil Bhalerao,Nice..old memory,5
com.mggames.dotsnbox,Manisha Chandar,Nice,5
com.mggames.dotsnbox,Jessica Doty,Just reparative,2
com.mggames.dotsnbox,patani hetal,Very nice,5
com.mggames.dotsnbox,Mayank Gupta,Best dots games.... Its just too good. Play like celebrity and be Winner,5
com.mggames.dotsnbox,Aana Grace,It was so dumb and so kiddish. Please DO NOT download this game.,1
com.mggames.dotsnbox,Tapan Roy,Wrost game,1
com.mggames.dotsnbox,Lina Dua,Best paddock game. I used to play dots n squares game in my school days... Love this one as its online multilayer game. Please add connect with Facebook option,5
com.mggames.dotsnbox,only rajasthani,Thik,3
com.mggames.dotsnbox,Akshay Singh,Good game ..where u need to use ur brain n learn new tricks when u play expert level.,4
com.mggames.dotsnbox,Abhirup Bhaduri,good game,5
com.mggames.dotsnbox,Priti Jugnake,Nice game,4
com.mggames.dotsnbox,Remington Thompson,awesome,5
com.mggames.dotsnbox,Ram Ram,It is a very good game. I like this game. please more update.,5
com.mggames.dotsnbox,Ryan Kabuski,Exactly what you hoped it would be,5
com.mggames.dotsnbox,Farz Khan,excellent game,5
com.mggames.dotsnbox,The Raptor King,controls are terrible,2
com.mggames.dotsnbox,hamza chohan,can't find any online players,1
com.mggames.dotsnbox,Ravikumar Mangipudi,lag in loading,1
com.mggames.dotsnbox,RATNESH RANVE,wow wow nice play store trick,2
com.mggames.dotsnbox,trever shava,not bad . but it is played only 2 players in multiplayer try increasing to 4 players,5
com.mggames.dotsnbox,DINESH R,"nice, remembering my school dats",5
com.mggames.dotsnbox,Zachary Hathaway,ed bete me,1
com.mggames.dotsnbox,Phoenix Hyatt,I was only able to tap on one dot and it only did vertical lines. I also could not drag from one dot to another.,1
com.mggames.dotsnbox,Esha Thakur,just fun. .but really good app ..I remembered my school life. ..thank u,1
com.mggames.dotsnbox,king pug,hord but helpful,5
com.mggames.dotsnbox,Hardik,good,5
com.mggames.dotsnbox,Om Prakash G,nice game,4
com.mggames.dotsnbox,Dima,"i wanted to play with some one but the game just wont load, so im deleting the game on both phones..",1
com.mggames.dotsnbox,anagha ps,Can i play with my friends in different plces,2
com.mggames.dotsnbox,vinit tak,Superb game,5
com.mggames.dotsnbox,Paul Castner,could not control moves,1
com.mggames.dotsnbox,Alok Khandelwal,good,5
com.mggames.dotsnbox,christian escobar,"computer is a cheater lol. it doesn't continue its next turn once it gets a box, if the move isnt advantageous for it.",2
com.mggames.dotsnbox,Pravin Sharma,very nice game I like it super good job,5
com.mggames.dotsnbox,Subhashini Kolipakula,super,5
com.mggames.dotsnbox,Shalyn Laing,it was boring,1
com.mggames.dotsnbox,Pratima Singh,nice,5
com.mggames.dotsnbox,Hajra Mandapwala,Good kheli nahi he phirbhi,5
com.mggames.dotsnbox,Shailinya Saxena,nice,5
com.mggames.dotsnbox,Tarsem Lal,good but it is not downloding,5
com.mggames.dotsnbox,THURSDAY MBHUNGELE,"Very good game, it is mind blowing",5
com.mggames.dotsnbox,Tiger Gamer,"I like this game so much because we can play it on page and also on computer,tab and mobile.",5
com.mggames.dotsnbox,Nadeem Ahmed,"This game is gud & i love it this dot game, bt some problems r fecing here wen i strted to play this game wth anodroid some tims it wil come double lines wth anoroid. Rest all of dem gud, i love it this game frm my childhood... Thank you Regards Nadeem Ahmed",3
com.mggames.dotsnbox,shivansh pandey,this is wonderful game and minded game also,2
com.mggames.dotsnbox,Arvind Singh,this game is very easy,1
com.mggames.dotsnbox,Vishal Upadhyay,😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😘😄😄😄😄😄😄😄,5
com.mggames.dotsnbox,Mr.vishal sehgal,very bed game🤨😡😡🤬,1
com.mggames.dotsnbox,Maan Maan,very nice game,5
com.mggames.dotsnbox,Alok Nath Das,nice app,5
com.mggames.dotsnbox,Chaitrali Shedge,"नमस्कार, खर तर एक स्टार देण्या इतपत पण या गेमची लायकी नाही आहे... पण नाईलाज आहे... खेळात चिटिंग करत खेळ खेळला जाण ह्यापेक्षा चुकच ते काय... अजिबात डाऊनलोड करु नका...",1
com.mggames.dotsnbox,MandyAmy Vee,it's boring honestly,1
com.mggames.dotsnbox,teresa bolin,I love the game. It's so eazy,5
com.mggames.dotsnbox,Tessa R,Carry an oxigen tank and heart monitor with this app. Play with caution,1
com.mggames.dotsnbox,Dollsi Bisht,i lve it,5
com.mggames.dotsnbox,Abiather Tsai,stupid app design,2
com.mggames.dotsnbox,Rashmi Sharma,good,5
com.mggames.dotsnbox,Sufyan Umar,Worst game.... Control awfully bad controls,1
com.mggames.dotsnbox,Three Team,thanks to the developers to make a board game into a digital type game.....this game is really fun to play when there is nothing to do!!!!!,5
com.mggames.dotsnbox,LadyJu,cool game to play when you are in need of some fun.,5
com.mggames.dotsnbox,Ingrid Kathleen Joseph,good,5
com.mggames.dotsnbox,Vignesh Manoharan,Nice 90's game. Back to school.,5
com.mggames.dotsnbox,datt biitch,Rubbish don't work,1
com.mggames.dotsnbox,krishna rai,a really very poor game computer gives him double chance and not the player playing,1
com.mggames.dotsnbox,save hub edits,you have to do swipe line but we have to do only touch,1
com.mggames.dotsnbox,blans19,fun,5
